x_mm,y_mm
-7.072645,-7.260912
-6.987848,-7.352809
-6.901804,-7.443539
-6.814056,-7.532623
-6.724968,-7.620367
-6.634941,-7.707148
-6.543788,-7.792746
-6.451939,-7.877594
-6.358901,-7.961140
-6.265569,-8.044355
-6.170907,-8.126055
-6.075665,-8.207079
-5.979866,-8.287443
-5.883341,-8.366932
-5.785468,-8.444755
-5.686039,-8.520582
-5.586176,-8.595836
-5.485277,-8.669695
-5.383576,-8.742447
-5.280826,-8.813709
-5.177254,-8.883770
-5.073255,-8.953198
-4.968201,-9.021018
-4.862891,-9.088439
-4.756423,-9.154017
-4.648836,-9.217739
-4.540499,-9.280180
-4.431335,-9.341163
-4.321591,-9.401096
-4.210776,-9.459021
-4.099529,-9.516118
-3.987563,-9.571788
-3.875161,-9.626574
-3.762191,-9.680179
-3.648139,-9.731428
-3.533110,-9.780452
-3.417192,-9.827333
-3.300837,-9.873128
-3.183889,-9.917381
-3.066259,-9.959786
-2.948028,-10.000486
-2.829246,-10.039549
-2.710047,-10.077328
-2.590299,-10.113313
-2.470115,-10.147830
-2.349549,-10.180980
-2.228602,-10.212718
-2.107334,-10.243204
-1.985573,-10.271629
-1.863282,-10.297708
-1.740600,-10.321861
-1.617577,-10.344245
-1.494334,-10.365370
-1.370754,-10.384413
-1.246878,-10.401445
-1.122807,-10.416990
-0.998542,-10.430920
-0.874141,-10.443520
-0.749507,-10.453624
-0.624781,-10.462517
-0.499942,-10.469649
-0.375032,-10.475406
-0.250062,-10.479672
-0.125037,-10.481823
-0.000000,-10.483084
0.125037,-10.481823
0.250062,-10.479672
0.375032,-10.475406
0.499942,-10.469649
0.624781,-10.462517
0.749507,-10.453624
0.874141,-10.443520
0.998542,-10.430920
1.122807,-10.416990
1.246878,-10.401445
1.370754,-10.384413
1.494334,-10.365370
1.617577,-10.344245
1.740600,-10.321861
1.863282,-10.297708
1.985573,-10.271629
2.107334,-10.243204
2.228602,-10.212718
2.349549,-10.180980
2.470115,-10.147830
2.590299,-10.113313
2.710047,-10.077328
2.829246,-10.039549
2.948028,-10.000486
3.066259,-9.959786
3.183889,-9.917381
3.300837,-9.873128
3.417192,-9.827333
3.533110,-9.780452
3.648139,-9.731428
3.762191,-9.680179
3.875161,-9.626574
3.987563,-9.571788
4.099529,-9.516118
4.210776,-9.459021
4.321591,-9.401096
4.431335,-9.341163
4.540499,-9.280180
4.648836,-9.217739
4.756423,-9.154017
4.862891,-9.088439
4.968201,-9.021018
5.073255,-8.953198
5.177254,-8.883770
5.280826,-8.813709
5.383576,-8.742447
5.485277,-8.669695
5.586176,-8.595836
5.686039,-8.520582
5.785468,-8.444755
5.883341,-8.366932
5.979866,-8.287443
6.075665,-8.207079
6.170907,-8.126055
6.265569,-8.044355
6.358901,-7.961140
6.451939,-7.877594
6.543788,-7.792746
6.634941,-7.707148
6.724968,-7.620367
6.814056,-7.532623
6.901804,-7.443539
6.987848,-7.352809
7.072645,-7.260912
7.155288,-7.167074
7.236414,-7.071921
7.315475,-6.975045
7.392727,-6.876721
7.470287,-6.778638
7.546772,-6.679714
7.622341,-6.580089
7.696081,-6.479103
7.768789,-6.377371
7.839994,-6.274581
7.910372,-6.171224
7.983214,-6.069588
8.056223,-5.968072
8.127794,-5.865538
8.197268,-5.761571
8.265613,-5.656860
8.331948,-5.550864
8.396743,-5.443920
8.460441,-5.336321
8.526246,-5.229994
8.591332,-5.123227
8.654808,-5.015494
8.716974,-4.907003
8.777136,-4.797385
8.835959,-4.687045
8.893087,-4.575817
8.948650,-4.463799
9.002921,-4.351147
9.056351,-4.238094
9.108746,-4.124562
9.159420,-4.010248
9.208893,-3.895410
9.256829,-3.779922
9.303447,-3.663895
9.348583,-3.547286
9.392310,-3.430138
9.434511,-3.312437
9.475048,-3.194147
9.514219,-3.075401
9.551837,-2.956152
9.588150,-2.836499
9.622848,-2.716370
9.656227,-2.595865
9.687846,-2.474890
9.717964,-2.353529
9.746614,-2.231815
9.773714,-2.109745
9.799467,-1.987384
9.823486,-1.864672
9.846306,-1.741729
9.867112,-1.618433
9.886583,-1.494915
9.904442,-1.371156
9.920786,-1.247187
9.935762,-1.123044
9.948926,-0.998697
9.961015,-0.874240
9.970836,-0.749586
9.979520,-0.624844
9.986444,-0.499994
9.991913,-0.375070
9.995992,-0.250094
9.998208,-0.125070
9.999475,-0.000033
9.998209,0.125004
9.995995,0.250027
9.991916,0.375004
9.986448,0.499928
9.979525,0.624778
9.970841,0.749520
9.961021,0.874174
9.948933,0.998632
9.935770,1.122979
9.920795,1.247121
9.904451,1.371091
9.886593,1.494850
9.867122,1.618368
9.846317,1.741664
9.823498,1.864607
9.799480,1.987319
9.773729,2.109681
9.746628,2.231750
9.717980,2.353465
9.687862,2.474826
9.656245,2.595801
9.622866,2.716306
9.588169,2.836436
9.551856,2.956089
9.514240,3.075338
9.475069,3.194085
9.434532,3.312374
9.392332,3.430076
9.348606,3.547224
9.303471,3.663833
9.256854,3.779861
9.208918,3.895349
9.159447,4.010187
9.108773,4.124501
9.056379,4.238034
9.002949,4.351087
8.948677,4.463738
8.893112,4.575755
8.835982,4.686982
8.777157,4.797322
8.716993,4.906939
8.654826,5.015429
8.591347,5.123160
8.526261,5.229927
8.460455,5.336254
8.396755,5.443851
8.331958,5.550794
8.265620,5.656789
8.197272,5.761497
8.127791,5.865460
8.056213,5.967989
7.983196,6.069499
7.910347,6.171130
7.839965,6.274484
7.768758,6.377273
7.696048,6.479003
7.622303,6.579986
7.546730,6.679608
7.470240,6.778527
7.392677,6.876608
7.315426,6.974933
7.236366,7.071810
7.155241,7.166964
7.072599,7.260802
6.987803,7.352701
6.901760,7.443432
6.814012,7.532515
6.724923,7.620259
6.634897,7.707040
6.543745,7.792639
6.451897,7.877489
6.358860,7.961036
6.265530,8.044253
6.170868,8.125953
6.075626,8.206977
5.979829,8.287343
5.883306,8.366835
5.785435,8.444660
5.686008,8.520490
5.586147,8.595746
5.485250,8.669608
5.383551,8.742363
5.280801,8.813626
5.177229,8.883688
5.073232,8.953117
4.968179,9.020938
4.862870,9.088362
4.756404,9.153942
4.648818,9.217667
4.540481,9.280109
4.431319,9.341094
4.321576,9.401029
4.210761,9.458956
4.099515,9.516054
3.987551,9.571726
3.875149,9.626513
3.762181,9.680120
3.648129,9.731372
3.533102,9.780398
3.417184,9.827280
3.300829,9.873077
3.183882,9.917331
3.066253,9.959738
2.948022,10.000440
2.829240,10.039504
2.710042,10.077285
2.590295,10.113272
2.470111,10.147791
2.349546,10.180943
2.228599,10.212682
2.107332,10.243171
1.985571,10.271598
1.863281,10.297678
1.740598,10.321832
1.617576,10.344218
1.494334,10.365344
1.370754,10.384388
1.246877,10.401421
1.122806,10.416967
0.998542,10.430898
0.874140,10.443499
0.749506,10.453603
0.624781,10.462497
0.499942,10.469629
0.375032,10.475386
0.250062,10.479653
0.125037,10.481803
