x_mm,y_mm
-0.133277,-11.593246
-0.000000,-11.593432
0.133277,-11.593246
0.266436,-11.595338
0.399058,-11.608543
0.531710,-11.621424
0.664452,-11.633355
0.796672,-11.649425
0.928279,-11.670458
1.060071,-11.690269
1.192207,-11.707635
1.324382,-11.724736
1.456613,-11.741399
1.589421,-11.752050
1.722550,-11.758131
1.855791,-11.760969
1.988872,-11.755083
2.120287,-11.733756
2.249233,-11.700323
2.379007,-11.670060
2.509005,-11.640679
2.627289,-11.580745
2.740824,-11.510974
2.855541,-11.443142
2.969737,-11.374427
3.084497,-11.306657
3.198932,-11.238339
3.306887,-11.160267
3.411972,-11.078299
3.523502,-11.005444
3.640333,-10.941380
3.748798,-10.865399
3.828012,-10.758225
3.901268,-10.646886
3.994414,-10.552038
4.112547,-10.492016
4.238794,-10.450581
4.350669,-10.379008
4.447067,-10.286975
4.544190,-10.195861
4.652264,-10.118997
4.773465,-10.063726
4.886719,-9.995525
4.967526,-9.889555
5.043988,-9.780625
5.148277,-9.697920
5.272341,-9.649227
5.385547,-9.579465
5.480823,-9.487351
5.575605,-9.393731
5.657162,-9.289055
5.722790,-9.173265
5.784002,-9.054877
5.860590,-8.946311
5.938895,-8.838489
6.017375,-8.730773
6.111518,-8.637219
6.191283,-8.531816
6.237055,-8.407972
6.292324,-8.287953
6.376515,-8.186078
6.473658,-8.094855
6.562490,-7.996154
6.627844,-7.881195
6.678913,-7.758101
6.737795,-7.639202
6.819171,-7.534743
6.915455,-7.442590
7.010188,-7.348873
7.102274,-7.252529
7.189573,-7.152015
7.270362,-7.046023
7.356126,-6.944465
7.445311,-6.845751
7.526143,-6.739804
7.606604,-6.633581
7.690147,-6.529746
7.777552,-6.429222
7.869324,-6.332578
7.951260,-6.228903
8.006569,-6.108216
8.052909,-5.983535
8.115739,-5.866379
8.191501,-5.756738
8.268351,-5.647855
8.346694,-5.540176
8.430485,-5.436564
8.502730,-5.325748
8.551303,-5.201637
8.603837,-5.079384
8.668870,-4.963056
8.735538,-4.847652
8.801200,-4.731676
8.865246,-4.614795
8.928529,-4.497506
8.989164,-4.378834
9.045825,-4.258217
9.098976,-4.135997
9.152311,-4.013857
9.205216,-3.891532
9.256397,-3.768474
9.306424,-3.644947
9.354124,-3.520499
9.400646,-3.395607
9.445171,-3.269988
9.488367,-3.143906
9.529923,-3.017277
9.569263,-2.889938
9.607496,-2.762266
9.643255,-2.633876
9.677900,-2.505182
9.710520,-2.375959
9.741482,-2.246329
9.770918,-2.116345
9.798136,-1.985877
9.824401,-1.855216
9.848015,-1.724047
9.870448,-1.592673
9.890820,-1.460962
9.909440,-1.328992
9.926591,-1.196825
9.941476,-1.064381
9.955416,-0.931836
9.966571,-0.799027
9.976585,-0.666127
9.984479,-0.533083
9.990710,-0.399952
9.995401,-0.266757
9.997873,-0.133503
9.999342,-0.000234
9.997880,0.133036
9.995414,0.266290
9.990730,0.399485
9.984506,0.532617
9.976618,0.665660
9.966610,0.798561
9.955462,0.931371
9.941529,1.063917
9.926650,1.196361
9.909505,1.328529
9.890892,1.460500
9.870527,1.592212
9.848101,1.723587
9.824493,1.854757
9.798234,1.985419
9.771023,2.115889
9.741593,2.245874
9.710638,2.375506
9.678023,2.504730
9.643385,2.633426
9.607632,2.761817
9.569405,2.889491
9.530071,3.016832
9.488522,3.143464
9.445333,3.269548
9.400813,3.395169
9.354300,3.520063
9.306605,3.644514
9.256584,3.768043
9.205409,3.891104
9.152508,4.013430
9.099167,4.135568
9.046007,4.257784
8.989357,4.378406
8.928738,4.497086
8.865463,4.614380
8.801423,4.731264
8.735768,4.847243
8.669105,4.962651
8.604070,5.078978
8.551470,5.201204
8.502846,5.325295
8.430668,5.436163
8.346911,5.539803
8.268541,5.647463
8.191666,5.756329
8.115866,5.865943
8.052986,5.983073
8.006659,6.107755
7.951413,6.228472
7.869490,6.332148
7.777689,6.428765
7.690260,6.529267
7.606712,6.633098
7.526264,6.739330
7.445487,6.845320
7.356358,6.944082
7.270578,7.045631
7.189739,7.151585
7.102361,7.252028
7.010214,7.348314
6.915442,7.441992
6.819134,7.534119
6.737777,7.638589
6.678889,7.757488
6.627771,7.880561
6.562351,7.995483
6.473466,8.094138
6.376283,8.185319
6.292077,8.287173
6.236826,8.407202
6.191090,8.531059
6.111325,8.636461
6.017116,8.729954
5.938540,8.837600
5.860218,8.945411
5.783735,9.054047
5.722720,9.172536
5.657170,9.288369
5.575641,9.393067
5.480866,9.486693
5.385615,9.578833
5.272428,9.648628
5.148366,9.697325
5.044057,9.779996
4.967531,9.888874
4.886644,9.994782
4.773387,10.062963
4.652164,10.118183
4.544020,10.194941
4.446892,10.286046
4.350507,10.378091
4.238650,10.449682
4.112399,10.491082
3.994144,10.550869
3.900948,10.645673
3.827695,10.757015
3.748528,10.864222
3.640154,10.940308
3.523306,11.004338
3.411765,11.077179
3.306708,11.159182
3.198795,11.237313
3.084377,11.305660
2.969610,11.373417
2.855411,11.442128
2.740695,11.509963
2.627178,11.579763
2.508927,11.639769
2.378918,11.669101
2.249139,11.699342
2.120195,11.732787
1.988781,11.754117
1.855698,11.759971
1.722459,11.757087
1.589332,11.750954
1.456528,11.740247
1.324307,11.723509
1.192143,11.706325
1.060018,11.688878
0.928238,11.668985
0.796644,11.647868
0.664434,11.631715
0.531698,11.619724
0.399051,11.606787
0.266435,11.593528
0.133277,11.591413
